log_area,perimeter_km,compactness,solidity,dist_center_km,local_ward_density_km,num_neighbors,perimeter_area_ratio
2.4293356311206704,20.95041565041081,0.2963610129796431,0.7975556831331196,15.889739654710636,3.2349759767851145,4,2.023933084884728
2.0744703979365173,14.420541829109638,0.42060701188036226,0.749725708307498,16.725854561147816,3.3372278732964653,2,2.0718188349384876
1.5825067121672918,11.278956065945657,0.3819988604144675,0.7218356629727883,14.789116205677683,2.4462178593816,3,2.9166135675247378
1.815869170450262,13.045862751778762,0.37998736311334935,0.6812166280434554,14.395438783451826,2.897657880631294,3,2.5349412868270553
1.619075016168021,9.556379063155447,0.5570683995799369,0.8611775962121705,13.276135609645502,2.7512352032917695,4,2.3605215664844317
2.0143391808453264,14.753603144897104,0.3750113988474437,0.6988325418835901,13.533529162393105,1.7989165413123982,6,2.271262330250387
0.7939899577559754,5.50559792403619,0.5025474945572328,0.8204830336157204,12.608418458793711,1.4627412286284414,3,4.5418026601666615
0.6440245096233381,6.196901485951776,0.29586317797060196,0.66397987017413,7.69626066644087,1.4962054626500683,6,6.854004008399579
2.136945142133859,15.8006575551561,0.3761701391734127,0.7796700632298922,5.202151809870425,1.6537665718042267,8,2.114221015615778
1.03306239755451,7.588558998817801,0.39490032529122016,0.7303621908250522,5.94012133219498,1.4542978819321408,7,4.193368780441977
0.42806892070470104,4.385243606382367,0.34914107326340993,0.7035526948898827,7.341234744894292,1.2483577030512791,3,8.20758137684256
1.3513259313549812,8.617519075261544,0.48439256458663604,0.8661376244668391,9.677022312610404,1.5694441904113674,7,3.0104411550864048
1.7344758918554983,10.28543093373731,0.5542499385499987,0.8692329446341818,11.187910680248882,1.787164718221493,5,2.204355920875195
0.6697448539623988,4.258675847377825,0.6608305791888044,0.8926667662336047,8.1137354521979,1.1408133171537542,6,4.465243511939599
1.0647148258174988,5.952619380618369,0.6738293867714948,0.9237022139813834,7.317107019909685,1.2250067227781674,5,3.1329380165470813
0.6633381574180314,4.356994263849096,0.6230835799986448,0.9087894080955022,5.6477441759835,1.1897423905068996,6,4.628886897387802
0.8589992136428044,6.978887603079164,0.3510999389061984,0.6987114285203243,4.430036713908937,1.1481837094492833,7,5.1285300691568745
0.5427492574866754,4.176511970947419,0.5192250828145304,0.7932516679900302,3.701409238662109,1.4499312948228382,4,5.794826923078515
1.5379606005413557,9.277489202913332,0.5336379016074547,0.8363752954124893,4.411225359971248,1.5414447307282821,9,2.5382403204404134
0.5394703304948876,4.757627557596698,0.3970037952046866,0.6971490662598683,3.5417961235691098,1.203869677296714,5,6.653110927162814
0.8404677070341986,7.69341350806233,0.2797087523165904,0.656887267139167,3.0614063557040345,1.0290384317468604,7,5.8396219501994695
0.49822684422959357,4.993159349585653,0.32550475394299444,0.7246070728456789,4.675699137363899,0.9218333198100952,6,7.731737521681594
0.917234047294492,8.005429836815095,0.2945875523244442,0.7193735137590199,9.923046367669821,1.332420297495902,5,5.3285717321638755
0.8087630507391053,7.287211443699032,0.2946466617937033,0.5916403343583037,10.562777440686554,1.5322268677950375,6,5.852574730541468
1.3759526215206714,10.097880774497307,0.3646462731718518,0.6700084333987963,8.741518544562314,1.3696014077477037,10,3.4127764879469145
0.5602706162080556,5.0999476022882595,0.36291338189211203,0.7916315060195992,7.216637054181832,0.8963642039644778,5,6.789552759808845
0.5134026700954788,5.043600614611297,0.33145901094274943,0.7059249029685991,7.333624583562528,0.8678745147774372,5,7.516909904259164
0.5810175706856706,4.030692292785498,0.6093935437430807,0.8623406538301855,7.694777719844136,1.012865859529882,4,5.116021610911038
0.6885797940852952,4.7647070004468794,0.548480487984795,0.8392908032507729,6.766319290388343,0.9440947445913773,6,4.808531687303299
0.6090721175847187,4.487615433029606,0.5233568596046113,0.9079643725113432,6.071439939341116,1.0299056992272404,9,5.35052392440143
0.5510662511900065,3.950241880411754,0.5919842351174041,0.8690001976786522,5.210152605349999,0.90800043943659,4,5.373732373470134
0.6035345322287803,5.02462155411308,0.41241327319538007,0.7711987614402751,5.375537695552979,0.9361033790952711,5,6.064204980283923
0.7220509678950348,5.379701347406918,0.45967024100453757,0.7473572556983638,4.408355398632104,1.016467838066318,6,5.081656544766324
0.4489593494654327,4.877273725474263,0.2993603184851894,0.6676936255834102,4.61035617161857,0.8369969201300375,6,8.606736396843184
0.36845901973993306,2.889023313831908,0.6707500993285622,0.9397487978058809,3.939210886219568,0.9371378971191214,4,6.4848221803511015
0.6007626226603289,4.660423584295214,0.4764610337892508,0.7760084992239127,3.5603155271948177,0.9820094861822364,6,5.659226602242183
1.0726909240227531,8.705580243159003,0.3188943327647959,0.6554877710325397,2.309615262199919,1.2714883163781092,6,4.526529341103478
0.5114659237271088,4.232662867142709,0.468366809945387,0.8105785427550654,2.5871505581587426,1.4889034744895224,4,6.338844147336758
